Date,Description,Cardmember,Account #,Amount
01/05/2009,DRAMATISTS PLAY SERV2126838960          NY,JOHN DOE,XXXX-XXXXXX-01011,17.81
01/06/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.40
01/06/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.89
01/06/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-0.63
01/06/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-0.54
01/06/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,20.75
01/06/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,11.99
01/06/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,15.73
01/06/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,16.98
01/06/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,29.86
01/06/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,69.92
01/07/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-3.64
01/07/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.72
01/08/2009,PAYMENT RECEIVED - THANK YOU,JOHN DOE,XXXX-XXXXXX-01011,"-13,000.00"
01/09/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.92
01/09/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,8.66
01/09/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,20.02
01/09/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,27.09
01/09/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,35.34
01/09/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,111.97
01/09/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,137.03
01/09/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,138.68
01/09/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,150.64
01/09/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,-122.59
01/09/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,8.99
01/09/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,11.56
01/09/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,13.44
01/09/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,13.51
01/09/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,16.99
01/09/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,21.23
01/09/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,26.94
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,10.80
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,12.55
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,13.45
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,17.95
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,18.03
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,20.76
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,22.36
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,23.35
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,23.96
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,24.20
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,24.24
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,24.30
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,24.75
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,24.84
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,25.20
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,25.55
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,26.10
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,26.95
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,26.95
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,26.95
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,27.00
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,27.00
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,27.96
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,29.22
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,29.60
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,30.50
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,30.50
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,30.50
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,31.37
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,31.88
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,32.00
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,32.37
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,33.67
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,34.05
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,35.00
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,35.00
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,35.85
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,35.92
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,35.99
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,36.18
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,36.85
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,37.73
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,38.68
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,39.60
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,41.56
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,42.47
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,44.05
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,44.97
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,46.40
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,46.80
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,47.25
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,49.15
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,49.68
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,53.55
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,53.95
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,54.00
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,55.16
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,57.56
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,58.50
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,63.96
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,75.60
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,83.99
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,90.40
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,104.00
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,107.05
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,107.05
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,140.00
01/09/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,159.20
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.88
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.36
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.53
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.46
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.35
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.35
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.31
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.26
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.24
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.24
01/10/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.12
01/10/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,11.77
01/10/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,45.49
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,5.11
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,7.73
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,11.19
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,11.19
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,11.97
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,12.03
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,13.79
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,14.49
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,15.49
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,19.94
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,24.99
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,66.49
01/10/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,106.06
01/10/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,15.96
01/10/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,59.68
01/10/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,61.20
01/10/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,62.64
01/10/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,74.00
01/10/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,135.22
01/10/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,222.95
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-7.96
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-7.00
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-5.35
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-5.35
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-5.20
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-4.52
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-3.78
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-3.20
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.93
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.76
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.70
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.70
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.68
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.48
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.46
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.34
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.32
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.25
01/11/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-2.08
